44.5115 	EXP 	fixationITI: autoDraw = True
44.6295 	DATA 	Keypress: right
45.6952 	EXP 	fixationITI: autoDraw = False
45.6952 	EXP 	fixationITI: autoDraw = False
45.6952 	EXP 	cue: ori = -90.0
45.6952 	EXP 	target: pos = array([-500.,    0.])
45.6952 	EXP 	cue: autoDraw = True
46.4971 	EXP 	cue: autoDraw = False
46.4971 	EXP 	target: autoDraw = True
46.7984 	DATA 	Keypress: left
46.7992 	EXP 	New trial (rep=0, index=11): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', 500), ('corrAns', u'right'), ('valid', 0), ('SOA_frames', 6)])
46.8135 	EXP 	cue: autoDraw = False
46.8135 	EXP 	target: autoDraw = False
46.8135 	EXP 	fixationITI: autoDraw = True
47.9464 	EXP 	fixationITI: autoDraw = False
47.9464 	EXP 	fixationITI: autoDraw = False
47.9464 	EXP 	cue: ori = -90.0
47.9464 	EXP 	target: pos = array([ 500.,    0.])
47.9464 	EXP 	cue: autoDraw = True
48.0464 	EXP 	cue: autoDraw = False
48.0464 	EXP 	target: autoDraw = True
48.3644 	DATA 	Keypress: right
48.3651 	EXP 	New trial (rep=0, index=12): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', 500), ('corrAns', u'right'), ('valid', 1), ('SOA_frames', 12)])
48.3796 	EXP 	cue: autoDraw = False
48.3796 	EXP 	target: autoDraw = False
48.3796 	EXP 	fixationITI: autoDraw = True
49.4634 	EXP 	fixationITI: autoDraw = False
49.4634 	EXP 	fixationITI: autoDraw = False
49.4634 	EXP 	cue: ori = 90.0
49.4634 	EXP 	target: pos = array([ 500.,    0.])
49.4634 	EXP 	cue: autoDraw = True
49.6635 	EXP 	cue: autoDraw = False
49.6635 	EXP 	target: autoDraw = True
49.9488 	DATA 	Keypress: right
49.9495 	EXP 	New trial (rep=0, index=13): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', 500), ('corrAns', u'right'), ('valid', 0), ('SOA_frames', 24)])
49.9636 	EXP 	cue: autoDraw = False
49.9636 	EXP 	target: autoDraw = False
49.9636 	EXP 	fixationITI: autoDraw = True
51.2317 	EXP 	fixationITI: autoDraw = False
51.2317 	EXP 	fixationITI: autoDraw = False
51.2317 	EXP 	cue: ori = -90.0
51.2317 	EXP 	target: pos = array([ 500.,    0.])
51.2317 	EXP 	cue: autoDraw = True
51.6317 	EXP 	cue: autoDraw = False
51.6317 	EXP 	target: autoDraw = True
51.8999 	DATA 	Keypress: right
51.9007 	EXP 	New trial (rep=0, index=14): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', -500), ('corrAns', u'left'), ('valid', 1), ('SOA_frames', 24)])
51.9147 	EXP 	cue: autoDraw = False
51.9147 	EXP 	target: autoDraw = False
51.9147 	EXP 	fixationITI: autoDraw = True
53.0477 	EXP 	fixationITI: autoDraw = False
53.0477 	EXP 	fixationITI: autoDraw = False
53.0477 	EXP 	cue: ori = -90.0
53.0477 	EXP 	target: pos = array([-500.,    0.])
53.0477 	EXP 	cue: autoDraw = True
53.4478 	EXP 	cue: autoDraw = False
53.4478 	EXP 	target: autoDraw = True
53.7328 	DATA 	Keypress: left
53.7336 	EXP 	New trial (rep=0, index=15): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', -500), ('corrAns', u'left'), ('valid', 0), ('SOA_frames', 24)])
53.7479 	EXP 	cue: autoDraw = False
53.7479 	EXP 	target: autoDraw = False
53.7479 	EXP 	fixationITI: autoDraw = True
54.8986 	EXP 	fixationITI: autoDraw = False
54.8986 	EXP 	fixationITI: autoDraw = False
54.8986 	EXP 	cue: ori = 90.0
54.8986 	EXP 	target: pos = array([-500.,    0.])
54.8986 	EXP 	cue: autoDraw = True
55.2986 	EXP 	cue: autoDraw = False
55.2986 	EXP 	target: autoDraw = True
55.5669 	DATA 	Keypress: left
