15.9865 	EXP 	window1: blendMode = 'avg'
16.0035 	EXP 	window1: blendMode = 'avg'
16.0204 	EXP 	window1: blendMode = 'avg'
16.0369 	EXP 	window1: blendMode = 'avg'
16.0538 	EXP 	window1: blendMode = 'avg'
16.0705 	EXP 	window1: blendMode = 'avg'
16.0868 	EXP 	window1: blendMode = 'avg'
16.1037 	EXP 	window1: blendMode = 'avg'
16.1205 	EXP 	window1: blendMode = 'avg'
16.1368 	EXP 	window1: blendMode = 'avg'
16.1528 	EXP 	window1: blendMode = 'avg'
16.1706 	EXP 	window1: blendMode = 'avg'
16.1868 	EXP 	window1: blendMode = 'avg'
16.2037 	EXP 	window1: blendMode = 'avg'
16.2205 	EXP 	window1: blendMode = 'avg'
16.2369 	EXP 	window1: blendMode = 'avg'
16.2539 	EXP 	window1: blendMode = 'avg'
16.2696 	EXP 	window1: blendMode = 'avg'
16.2865 	EXP 	window1: blendMode = 'avg'
16.3030 	EXP 	window1: blendMode = 'avg'
16.3197 	EXP 	window1: blendMode = 'avg'
16.3365 	EXP 	window1: blendMode = 'avg'
16.3538 	EXP 	window1: blendMode = 'avg'
16.3699 	EXP 	window1: blendMode = 'avg'
16.3866 	EXP 	window1: blendMode = 'avg'
16.4028 	EXP 	window1: blendMode = 'avg'
16.4204 	EXP 	window1: blendMode = 'avg'
16.4367 	EXP 	window1: blendMode = 'avg'
16.4537 	EXP 	window1: blendMode = 'avg'
16.4706 	EXP 	window1: blendMode = 'avg'
16.4865 	EXP 	window1: blendMode = 'avg'
16.5029 	EXP 	window1: blendMode = 'avg'
16.5206 	EXP 	window1: blendMode = 'avg'
16.5375 	EXP 	window1: blendMode = 'avg'
16.5537 	EXP 	window1: blendMode = 'avg'
16.5705 	EXP 	window1: blendMode = 'avg'
16.5868 	EXP 	window1: blendMode = 'avg'
16.6036 	EXP 	window1: blendMode = 'avg'
16.6212 	EXP 	window1: blendMode = 'avg'
16.6367 	EXP 	window1: blendMode = 'avg'
16.6539 	EXP 	window1: blendMode = 'avg'
16.6699 	EXP 	window1: blendMode = 'avg'
16.6866 	EXP 	window1: blendMode = 'avg'
16.7039 	EXP 	window1: blendMode = 'avg'
16.7206 	EXP 	window1: blendMode = 'avg'
16.7367 	EXP 	window1: blendMode = 'avg'
16.7538 	EXP 	window1: blendMode = 'avg'
16.7697 	EXP 	window1: blendMode = 'avg'
16.7867 	EXP 	window1: blendMode = 'avg'
16.8028 	EXP 	window1: blendMode = 'avg'
16.8198 	EXP 	window1: blendMode = 'avg'
16.8366 	EXP 	window1: blendMode = 'avg'
16.8537 	EXP 	window1: blendMode = 'avg'
16.8704 	EXP 	window1: blendMode = 'avg'
16.8867 	EXP 	window1: blendMode = 'avg'
16.9035 	EXP 	window1: blendMode = 'avg'
16.9204 	EXP 	window1: blendMode = 'avg'
16.9368 	EXP 	window1: blendMode = 'avg'
16.9537 	EXP 	window1: blendMode = 'avg'
16.9705 	EXP 	window1: blendMode = 'avg'
16.9868 	EXP 	window1: blendMode = 'avg'
17.0036 	EXP 	window1: blendMode = 'avg'
17.0204 	EXP 	window1: blendMode = 'avg'
17.0374 	EXP 	window1: blendMode = 'avg'
17.0537 	EXP 	window1: blendMode = 'avg'
17.0705 	EXP 	window1: blendMode = 'avg'
17.0868 	EXP 	window1: blendMode = 'avg'
17.1036 	EXP 	window1: blendMode = 'avg'
17.1207 	EXP 	window1: blendMode = 'avg'
17.1367 	EXP 	window1: blendMode = 'avg'
17.1538 	EXP 	window1: blendMode = 'avg'
