7.4945 	EXP 	window1: blendMode = 'avg'
7.5105 	EXP 	window1: blendMode = 'avg'
7.5274 	EXP 	window1: blendMode = 'avg'
7.5446 	EXP 	window1: blendMode = 'avg'
7.5605 	EXP 	window1: blendMode = 'avg'
7.5775 	EXP 	window1: blendMode = 'avg'
7.5944 	EXP 	window1: blendMode = 'avg'
7.6104 	EXP 	window1: blendMode = 'avg'
7.6275 	EXP 	window1: blendMode = 'avg'
7.6444 	EXP 	window1: blendMode = 'avg'
7.6604 	EXP 	window1: blendMode = 'avg'
7.6774 	EXP 	window1: blendMode = 'avg'
7.6945 	EXP 	window1: blendMode = 'avg'
7.7104 	EXP 	window1: blendMode = 'avg'
7.7275 	EXP 	window1: blendMode = 'avg'
7.7444 	EXP 	window1: blendMode = 'avg'
7.7604 	EXP 	window1: blendMode = 'avg'
7.7775 	EXP 	window1: blendMode = 'avg'
7.7938 	EXP 	window1: blendMode = 'avg'
7.8106 	EXP 	window1: blendMode = 'avg'
7.8274 	EXP 	window1: blendMode = 'avg'
7.8444 	EXP 	window1: blendMode = 'avg'
7.8605 	EXP 	window1: blendMode = 'avg'
7.8776 	EXP 	window1: blendMode = 'avg'
7.8945 	EXP 	window1: blendMode = 'avg'
7.9104 	EXP 	window1: blendMode = 'avg'
7.9274 	EXP 	window1: blendMode = 'avg'
7.9444 	EXP 	window1: blendMode = 'avg'
7.9604 	EXP 	window1: blendMode = 'avg'
7.9774 	EXP 	window1: blendMode = 'avg'
7.9944 	EXP 	window1: blendMode = 'avg'
8.0104 	EXP 	window1: blendMode = 'avg'
8.0273 	EXP 	window1: blendMode = 'avg'
8.0444 	EXP 	window1: blendMode = 'avg'
8.0604 	EXP 	window1: blendMode = 'avg'
8.0776 	EXP 	window1: blendMode = 'avg'
8.0946 	EXP 	window1: blendMode = 'avg'
8.1114 	EXP 	window1: blendMode = 'avg'
8.1276 	EXP 	window1: blendMode = 'avg'
8.1446 	EXP 	window1: blendMode = 'avg'
8.1605 	EXP 	window1: blendMode = 'avg'
8.1775 	EXP 	window1: blendMode = 'avg'
8.1944 	EXP 	window1: blendMode = 'avg'
8.2104 	EXP 	window1: blendMode = 'avg'
8.2275 	EXP 	window1: blendMode = 'avg'
8.2446 	EXP 	window1: blendMode = 'avg'
8.2604 	EXP 	window1: blendMode = 'avg'
8.2776 	EXP 	window1: blendMode = 'avg'
8.2945 	EXP 	window1: blendMode = 'avg'
8.3105 	EXP 	window1: blendMode = 'avg'
8.3276 	EXP 	window1: blendMode = 'avg'
8.3446 	EXP 	window1: blendMode = 'avg'
8.3606 	EXP 	window1: blendMode = 'avg'
8.3776 	EXP 	window1: blendMode = 'avg'
8.3943 	EXP 	window1: blendMode = 'avg'
8.4114 	EXP 	window1: blendMode = 'avg'
8.4273 	EXP 	window1: blendMode = 'avg'
8.4444 	EXP 	window1: blendMode = 'avg'
8.4613 	EXP 	window1: blendMode = 'avg'
8.4774 	EXP 	window1: blendMode = 'avg'
8.4944 	EXP 	window1: blendMode = 'avg'
8.5114 	EXP 	window1: blendMode = 'avg'
8.5274 	EXP 	window1: blendMode = 'avg'
8.5444 	EXP 	window1: blendMode = 'avg'
8.5614 	EXP 	window1: blendMode = 'avg'
8.5777 	EXP 	window1: blendMode = 'avg'
8.5946 	EXP 	window1: blendMode = 'avg'
8.6105 	EXP 	window1: blendMode = 'avg'
8.6274 	EXP 	window1: blendMode = 'avg'
8.6444 	EXP 	window1: blendMode = 'avg'
8.6614 	EXP 	window1: blendMode = 'avg'
8.6775 	EXP 	window1: blendMode = 'avg'
8.6945 	EXP 	window1: blendMode = 'avg'
8.7115 	EXP 	window1: blendMode = 'avg'
8.7274 	EXP 	window1: blendMode = 'avg'
8.7445 	EXP 	window1: blendMode = 'avg'
8.7604 	EXP 	window1: blendMode = 'avg'
8.7775 	EXP 	window1: blendMode = 'avg'
8.7945 	EXP 	window1: blendMode = 'avg'
8.8114 	EXP 	window1: blendMode = 'avg'
8.8277 	EXP 	window1: blendMode = 'avg'
8.8446 	EXP 	window1: blendMode = 'avg'
8.8607 	EXP 	window1: blendMode = 'avg'
8.8775 	EXP 	window1: blendMode = 'avg'
8.8945 	EXP 	window1: blendMode = 'avg'
8.9105 	EXP 	window1: blendMode = 'avg'
8.9274 	EXP 	window1: blendMode = 'avg'
8.9444 	EXP 	window1: blendMode = 'avg'
8.9614 	EXP 	window1: blendMode = 'avg'
8.9778 	EXP 	window1: blendMode = 'avg'
8.9947 	EXP 	window1: blendMode = 'avg'
9.0106 	EXP 	window1: blendMode = 'avg'
9.0274 	EXP 	window1: blendMode = 'avg'
9.0445 	EXP 	window1: blendMode = 'avg'
9.0607 	EXP 	window1: blendMode = 'avg'
9.0785 	EXP 	window1: blendMode = 'avg'
9.0947 	EXP 	window1: blendMode = 'avg'
9.1114 	EXP 	window1: blendMode = 'avg'
9.1284 	EXP 	window1: blendMode = 'avg'
9.1446 	EXP 	window1: blendMode = 'avg'
9.1615 	EXP 	window1: blendMode = 'avg'
9.1784 	EXP 	window1: blendMode = 'avg'
9.1947 	EXP 	window1: blendMode = 'avg'
9.2115 	EXP 	window1: blendMode = 'avg'
9.2283 	EXP 	window1: blendMode = 'avg'
9.2447 	EXP 	window1: blendMode = 'avg'
9.2616 	EXP 	window1: blendMode = 'avg'
9.2789 	EXP 	window1: blendMode = 'avg'
9.2954 	EXP 	window1: blendMode = 'avg'
9.3126 	EXP 	window1: blendMode = 'avg'
9.3288 	EXP 	window1: blendMode = 'avg'
9.3448 	EXP 	window1: blendMode = 'avg'
9.3616 	EXP 	window1: blendMode = 'avg'
9.3785 	EXP 	window1: blendMode = 'avg'
9.3947 	EXP 	window1: blendMode = 'avg'
9.4116 	EXP 	window1: blendMode = 'avg'
9.4285 	EXP 	window1: blendMode = 'avg'
9.4454 	EXP 	window1: blendMode = 'avg'
9.4616 	EXP 	window1: blendMode = 'avg'
9.4785 	EXP 	window1: blendMode = 'avg'
9.4948 	EXP 	window1: blendMode = 'avg'
9.5116 	EXP 	window1: blendMode = 'avg'
9.5285 	EXP 	window1: blendMode = 'avg'
9.5456 	EXP 	window1: blendMode = 'avg'
